vardas		pavarde		nd1	nd2	nd3	nd4	nd5	nd6	nd7	nd8	nd9	nd10	nd11	nd12	nd13	nd14	nd15	nd16	nd17	nd18	nd19	nd20	egzaminas	galutinis balas
vardas1		pavarde1		2	1	8	2	7	5	1	9	3	6	4	6	9	8	3	8	9	5	2	1	10		7.98
vardas2		pavarde2		5	9	10	6	10	10	10	8	7	7	6	6	7	4	1	6	10	5	7	6	3		4.6
vardas3		pavarde3		7	10	5	1	1	9	8	10	3	5	5	4	5	2	7	4	4	4	3	2	4		4.38
vardas4		pavarde4		8	9	8	9	2	7	1	6	2	7	2	10	4	7	5	10	5	7	4	4	10		8.34
vardas5		pavarde5		6	7	6	5	2	2	1	7	5	3	3	8	6	8	10	5	3	6	2	5	1		2.6
vardas6		pavarde6		9	5	10	10	5	1	6	3	4	8	8	10	3	2	1	1	5	3	2	1	10		7.94
vardas7		pavarde7		4	8	2	2	6	9	3	10	5	4	9	10	1	5	7	6	1	6	10	4	6		5.84
vardas8		pavarde8		2	5	6	6	4	9	7	10	4	8	7	9	3	9	6	7	2	1	3	2	9		7.6
vardas9		pavarde9		4	9	4	10	10	8	10	1	8	6	5	9	10	7	6	9	7	2	4	7	6		6.32
vardas10		pavarde10		10	10	9	6	1	9	4	9	10	9	10	4	10	9	3	8	7	7	3	10	10		8.96
vardas11		pavarde11		4	1	6	7	6	4	3	9	3	1	8	6	6	6	1	2	2	10	7	3	1		2.5
vardas12		pavarde12		6	9	7	4	7	8	7	10	8	1	7	3	8	4	1	4	2	5	10	3	5		5.28
vardas13		pavarde13		5	8	2	10	7	7	8	1	3	10	3	1	1	5	3	2	9	7	10	2	1		2.68
vardas14		pavarde14		7	1	10	3	2	9	1	5	1	10	8	7	1	1	1	1	5	8	10	7	6		5.56
vardas15		pavarde15		8	6	6	10	4	4	8	9	2	6	6	4	9	10	9	1	9	10	4	3	2		3.76
vardas16		pavarde16		1	9	9	7	5	6	4	10	7	1	3	2	2	6	6	3	5	1	5	4	5		4.92
vardas17		pavarde17		2	1	3	10	8	5	4	1	7	5	7	5	1	4	8	9	7	10	10	7	1		2.88
vardas18		pavarde18		4	10	9	3	6	6	10	8	8	4	3	8	4	9	10	5	6	9	1	10	10		8.66
vardas19		pavarde19		2	9	4	1	4	9	1	6	7	3	8	9	10	8	2	4	6	5	10	8	10		8.32
vardas20		pavarde20		7	8	4	2	6	1	4	2	6	2	3	7	9	7	7	3	10	1	4	10	4		4.46
vardas21		pavarde21		2	1	2	6	7	3	8	6	9	3	6	8	7	4	8	2	4	8	1	4	10		7.98
vardas22		pavarde22		3	1	8	6	4	7	6	1	9	8	3	3	9	9	4	10	6	4	5	1	7		6.34
vardas23		pavarde23		8	1	6	4	3	6	5	4	10	9	3	10	3	1	2	9	8	6	3	8	1		2.78
vardas24		pavarde24		1	1	3	3	5	4	1	2	7	3	4	4	7	1	6	3	6	9	8	8	1		2.32
vardas25		pavarde25		2	6	5	1	1	5	5	3	6	7	8	7	2	6	6	3	6	10	6	8	6		5.66
vardas26		pavarde26		3	3	9	3	1	8	2	1	2	4	7	8	5	9	9	6	10	4	1	10	9		7.5
vardas27		pavarde27		2	6	4	1	4	2	7	3	6	2	9	3	5	1	1	4	2	10	9	10	9		7.22
vardas28		pavarde28		5	7	5	9	9	2	1	10	9	5	9	10	1	5	8	6	4	7	4	1	6		5.94
vardas29		pavarde29		2	4	10	6	7	2	9	10	4	3	6	2	6	5	4	7	10	1	7	2	4		4.54
vardas30		pavarde30		9	7	7	6	8	4	2	8	9	4	9	2	4	7	3	4	4	5	10	4	2		3.52
vardas31		pavarde31		5	2	2	6	3	10	2	3	8	7	9	9	10	8	1	7	2	9	10	2	9		7.7
vardas32		pavarde32		3	4	9	1	7	3	9	1	10	7	8	6	8	5	1	1	7	5	8	10	4		4.66
vardas33		pavarde33		7	3	9	3	4	9	3	5	10	4	9	7	6	8	3	3	7	2	5	7	2		3.48
vardas34		pavarde34		6	5	4	7	1	7	4	2	10	1	6	1	7	1	9	4	4	9	4	1	1		2.46
vardas35		pavarde35		9	3	9	9	9	2	9	4	9	5	3	8	9	7	5	1	2	5	4	1	1		2.86
vardas36		pavarde36		1	7	3	8	8	7	9	6	8	4	4	7	8	2	10	6	3	2	7	10	2		3.6
vardas37		pavarde37		9	5	8	5	7	3	4	2	5	10	9	4	1	1	10	2	9	6	7	9	3		4.12
vardas38		pavarde38		2	10	3	1	6	5	3	10	4	9	3	9	1	5	1	6	2	2	5	8	8		6.7
vardas39		pavarde39		9	1	6	10	8	6	10	1	1	8	10	8	6	9	5	8	6	4	8	9	5		5.66
vardas40		pavarde40		5	5	6	9	10	8	10	9	3	7	2	5	2	5	2	1	4	3	7	9	8		7.04
vardas41		pavarde41		6	1	9	9	6	5	5	7	5	9	6	4	3	4	6	3	3	5	7	10	1		2.86
vardas42		pavarde42		4	3	8	8	6	6	8	4	9	5	4	3	9	8	7	4	6	9	5	5	6		6.02
vardas43		pavarde43		7	2	6	5	5	1	7	1	2	3	1	3	7	3	2	9	1	7	8	5	8		6.5
