vardas		pavarde		nd1	nd2	nd3	nd4	nd5	nd6	nd7	nd8	nd9	nd10	nd11	nd12	nd13	nd14	nd15	nd16	nd17	nd18	nd19	nd20	egzaminas	galutinis balas
vardas1		pavarde1	4	7	6	10	4	9	8	1	9	1	6	4	1	7	3	2	2	5	4	5	9		7.36
vardas2		pavarde2	9	3	5	4	3	4	2	6	7	9	7	8	5	3	10	4	1	10	5	4	3		3.98
vardas3		pavarde3	4	4	3	4	8	5	9	5	5	7	5	2	6	8	4	1	1	6	2	8	6		5.54
vardas4		pavarde4	8	9	9	10	2	6	9	4	10	10	8	7	6	2	6	3	9	4	1	8	3		4.42
vardas5		pavarde5	8	6	7	1	8	1	4	5	10	2	9	7	6	9	1	8	7	1	4	8	4		4.64
vardas6		pavarde6	4	2	2	2	2	10	4	4	2	5	3	10	4	1	5	2	4	5	9	4	8		6.48
vardas7		pavarde7	9	5	8	7	5	7	4	8	7	9	6	1	2	4	5	2	8	10	4	3	8		7.08
vardas8		pavarde8	7	10	7	3	10	5	6	5	8	2	5	10	4	1	1	7	8	7	6	3	7		6.5
vardas9		pavarde9	6	5	4	4	6	10	3	4	4	6	9	2	2	9	4	2	2	9	8	5	10		8.08
vardas10	pavarde10	10	3	9	5	4	4	8	1	5	4	8	4	1	5	3	5	4	6	10	8	4		4.54
vardas11	pavarde11	9	1	6	4	3	6	9	1	9	3	10	4	4	2	7	2	10	7	6	10	2		3.46
vardas12	pavarde12	8	1	9	10	1	1	9	1	6	6	3	8	9	1	6	10	8	10	6	3	7		6.52
vardas13	pavarde13	5	1	10	2	4	9	10	7	10	6	4	8	7	9	5	6	4	2	1	5	9		7.7
vardas14	pavarde14	4	10	6	6	10	7	6	4	10	5	8	7	7	3	2	8	2	2	3	1	2		3.42
vardas15	pavarde15	7	1	9	5	2	2	3	9	2	5	8	1	7	4	6	1	3	4	3	7	9		7.18
vardas16	pavarde16	3	6	6	8	10	7	6	3	3	7	7	6	5	6	6	3	3	5	5	5	1		2.8
vardas17	pavarde17	9	6	8	9	4	2	6	6	4	10	1	1	9	7	2	1	6	7	2	2	8		6.84
vardas18	pavarde18	5	8	10	9	6	5	10	10	7	10	9	6	2	2	7	8	2	8	5	4	1		3.26
vardas19	pavarde19	10	4	1	10	1	8	7	4	2	8	6	6	8	8	1	4	6	3	1	3	9		7.42
vardas20	pavarde20	2	10	7	1	1	10	10	9	1	3	2	1	2	4	2	5	6	4	2	7	2		2.98
vardas21	pavarde21	3	9	7	5	3	2	7	1	3	3	2	10	2	1	5	2	9	6	3	9	7		6.04
vardas22	pavarde22	1	2	1	7	1	6	6	5	8	3	9	7	10	3	3	9	6	5	4	2	3		3.76
vardas23	pavarde23	1	3	1	3	10	10	7	2	2	3	10	1	8	1	4	1	1	1	4	9	4		4.04
vardas24	pavarde24	2	6	10	5	2	6	2	4	5	6	1	5	4	4	8	1	3	8	6	9	3		3.74
vardas25	pavarde25	3	7	10	3	2	1	10	2	2	3	8	10	9	10	2	9	2	10	6	2	10		8.22
vardas26	pavarde26	5	7	5	9	7	7	1	5	8	4	2	1	7	10	5	9	1	2	9	5	7		6.38
vardas27	pavarde27	2	10	7	3	8	7	9	7	4	9	2	3	6	1	5	2	1	9	9	6	10		8.2
vardas28	pavarde28	3	5	7	8	9	3	4	9	1	1	4	10	1	10	4	5	2	9	6	6	4		4.54
vardas29	pavarde29	5	5	9	6	3	3	6	3	7	1	10	10	2	8	4	7	9	3	6	9	7		6.52
vardas30	pavarde30	7	8	6	8	1	8	5	6	10	4	3	7	4	3	4	6	1	6	2	4	10		8.06
vardas31	pavarde31	5	5	10	9	4	3	9	8	8	9	5	6	4	6	8	10	9	4	7	2	2		3.82
vardas32	pavarde32	7	3	9	2	6	7	5	3	6	3	7	8	6	2	2	9	1	5	3	2	8		6.72
vardas33	pavarde33	9	7	8	7	3	3	2	7	3	1	8	1	3	5	4	8	3	8	3	2	5		4.9
vardas34	pavarde34	4	6	1	2	5	3	8	10	4	1	1	3	6	10	10	9	9	10	9	8	6		5.98
vardas35	pavarde35	2	10	10	10	6	4	5	10	5	1	2	5	10	6	3	7	7	2	1	5	1		2.82
vardas36	pavarde36	7	4	4	5	5	8	3	7	10	7	3	1	10	8	7	9	8	1	1	6	3		4.08
vardas37	pavarde37	5	7	7	9	2	3	7	7	10	6	1	6	8	8	4	4	4	9	7	8	9		7.84
vardas38	pavarde38	5	5	9	7	8	8	3	7	4	8	3	4	4	2	3	9	7	3	5	7	2		3.42
vardas39	pavarde39	4	3	1	2	2	7	7	7	4	9	9	4	10	10	5	2	3	9	9	9	9		7.72
vardas40	pavarde40	3	8	5	9	10	3	1	1	9	6	7	3	6	2	4	7	2	9	8	8	4		4.62
vardas41	pavarde41	9	9	8	9	9	3	10	6	2	3	2	5	4	2	6	1	7	6	1	3	6		5.7
vardas42	pavarde42	8	2	1	4	6	10	6	2	3	6	2	6	4	1	10	8	5	3	5	3	9		7.3
vardas43	pavarde43	5	6	5	9	1	8	5	5	3	4	4	6	9	4	10	1	2	8	7	9	1		2.82
vardas44	pavarde44	5	9	4	8	7	2	7	1	5	3	5	4	5	10	2	9	5	8	4	10	8		7.06
vardas45	pavarde45	8	6	6	2	10	7	8	3	4	4	7	10	7	6	10	7	1	5	9	8	5		5.56
vardas46	pavarde46	5	2	7	2	1	5	9	9	6	10	10	5	4	6	9	5	6	10	6	10	6		6.14
vardas47	pavarde47	6	8	7	8	7	6	4	9	10	9	4	7	2	6	2	9	10	7	1	10	8		7.44
vardas48	pavarde48	7	2	10	5	7	10	3	7	7	4	9	2	4	1	2	7	9	3	1	3	2		3.26
vardas49	pavarde49	2	6	10	7	1	6	7	2	2	7	6	5	10	9	2	1	9	8	4	8	10		8.24
vardas50	pavarde50	4	9	10	8	10	3	8	5	9	3	10	4	3	7	2	2	4	3	3	4	2		3.42
vardas51	pavarde51	2	7	10	6	5	6	4	4	1	5	4	8	6	3	2	7	10	6	9	4	10		8.18
vardas52	pavarde52	3	9	7	1	1	1	3	7	2	1	6	3	5	1	7	1	7	6	7	5	2		2.86
vardas53	pavarde53	9	6	3	5	7	3	4	2	10	3	1	3	7	5	5	8	9	9	7	7	10		8.26
vardas54	pavarde54	4	9	1	2	2	7	5	9	1	7	5	5	4	6	4	7	6	10	3	6	9		7.46
vardas55	pavarde55	5	4	4	8	6	4	6	8	9	2	6	2	6	8	9	1	7	7	4	1	2		3.34
vardas56	pavarde56	8	5	6	4	4	1	6	7	10	9	10	4	5	6	7	8	2	5	2	10	4		4.78
vardas57	pavarde57	2	6	5	10	2	9	3	10	1	1	5	9	1	4	2	7	4	3	8	6	7		6.16
vardas58	pavarde58	3	10	7	9	8	5	4	1	9	9	8	3	1	4	6	5	9	7	10	4	3		4.24
vardas59	pavarde59	10	4	1	3	3	1	1	6	5	3	2	10	1	5	9	9	3	2	5	1	5		4.68
vardas60	pavarde60	9	1	4	3	5	2	1	9	1	10	3	1	10	4	8	7	6	8	9	2	8		6.86
vardas61	pavarde61	5	3	9	3	1	2	8	10	3	3	5	8	5	5	3	2	3	5	7	4	2		3.08
vardas62	pavarde62	5	2	9	1	7	8	7	5	7	3	8	2	6	10	5	3	2	5	6	7	8		6.96
vardas63	pavarde63	6	7	3	7	10	5	4	3	3	10	2	7	10	8	1	5	10	2	6	2	8		7.02
vardas64	pavarde64	7	6	10	7	10	7	1	1	7	5	1	3	3	7	6	7	3	3	3	1	9		7.36
vardas65	pavarde65	1	4	6	4	9	9	4	2	4	6	7	9	9	2	10	8	1	6	7	2	6		5.8
vardas66	pavarde66	9	8	4	10	7	5	10	9	3	7	9	10	9	9	1	8	10	9	1	1	10		8.78
vardas67	pavarde67	7	10	3	6	3	5	7	3	2	5	7	9	3	2	8	6	8	2	9	8	6		5.86
vardas68	pavarde68	3	7	3	4	6	2	2	2	4	1	7	6	10	4	4	5	8	6	7	4	8		6.7
vardas69	pavarde69	1	4	4	10	10	7	10	5	5	6	4	4	4	2	9	3	8	9	1	1	6		5.74
vardas70	pavarde70	7	7	1	3	1	3	6	8	6	8	9	10	6	4	10	8	1	1	4	7	9		7.6
vardas71	pavarde71	9	10	5	8	5	6	2	8	1	8	5	6	10	9	10	3	1	9	1	2	6		5.96
vardas72	pavarde72	3	5	8	2	4	5	6	9	8	8	1	4	9	6	9	6	5	3	9	4	9		7.68
vardas73	pavarde73	5	2	8	3	10	5	7	6	2	6	9	3	6	7	3	1	3	3	5	9	8		6.86
vardas74	pavarde74	9	1	6	4	3	4	10	4	7	3	1	2	8	2	1	9	10	1	6	4	6		5.5
vardas75	pavarde75	5	10	4	6	2	10	6	8	9	9	4	2	4	10	4	2	5	6	6	6	2		3.56
vardas76	pavarde76	3	4	6	3	4	8	10	6	5	4	4	10	3	7	3	4	2	6	6	3	2		3.22
vardas77	pavarde77	2	5	3	8	1	1	5	10	9	2	4	7	1	1	3	1	6	10	10	3	9		7.24
vardas78	pavarde78	10	10	9	1	2	1	8	4	2	10	6	6	2	8	6	2	3	7	8	1	3		3.92
vardas79	pavarde79	10	6	5	1	3	4	10	1	10	9	2	5	2	4	4	6	8	10	1	2	4		4.46
vardas80	pavarde80	2	6	5	2	3	10	7	4	4	5	1	3	10	10	9	7	7	8	6	8	6		5.94
vardas81	pavarde81	7	1	2	6	9	1	4	7	10	4	6	3	2	4	8	3	4	8	7	5	1		2.62
vardas82	pavarde82	3	4	2	4	3	8	6	6	9	6	7	3	8	2	9	6	8	6	3	7	6		5.8
vardas83	pavarde83	3	7	8	2	10	10	6	7	7	10	2	8	5	6	7	8	8	1	2	5	1		3.04
vardas84	pavarde84	2	10	4	9	3	8	5	9	9	4	4	9	4	6	1	10	7	8	3	4	4		4.78
vardas85	pavarde85	3	7	2	8	10	6	7	2	8	6	2	6	2	2	5	3	8	9	4	3	1		2.66
vardas86	pavarde86	4	3	9	10	5	4	7	8	1	8	9	3	3	10	5	2	4	7	1	7	1		2.8
vardas87	pavarde87	2	2	6	6	4	3	8	6	4	9	2	4	2	3	9	9	8	2	3	1	3		3.66
vardas88	pavarde88	9	9	9	3	5	1	2	10	10	1	8	9	7	5	8	8	8	5	7	5	3		4.38
vardas89	pavarde89	3	3	10	3	4	6	8	6	6	10	2	8	5	3	6	5	3	5	3	9	1		2.76
vardas90	pavarde90	2	8	1	7	10	10	3	10	6	4	2	9	4	4	8	5	4	9	10	4	6		6
vardas91	pavarde91	7	7	8	9	6	6	6	4	2	8	3	9	8	8	1	9	10	2	1	6	2		3.6
vardas92	pavarde92	8	4	10	9	4	2	4	2	7	7	3	3	9	9	4	2	7	3	9	1	2		3.34
vardas93	pavarde93	9	6	7	7	9	10	4	10	5	2	5	4	3	2	3	4	2	6	2	10	3		4
vardas94	pavarde94	2	3	6	6	1	3	4	7	8	6	7	9	5	9	8	5	1	9	5	9	6		5.86
vardas95	pavarde95	1	6	6	3	7	8	5	7	7	3	7	3	4	7	1	6	2	5	1	8	7		6.14
vardas96	pavarde96	8	5	2	2	8	2	5	5	3	9	2	5	8	3	4	2	7	6	3	2	1		2.42
vardas97	pavarde97	6	1	6	9	1	3	9	5	3	6	10	3	5	8	7	6	3	7	5	2	7		6.3
vardas98	pavarde98	3	2	3	4	10	6	10	4	1	7	4	1	2	6	10	1	3	2	2	7	5		4.76
vardas99	pavarde99	1	6	3	8	3	8	10	10	10	2	4	6	8	2	1	10	10	7	8	7	10		8.48
vardas100	pavarde100	6	6	8	2	10	3	6	1	5	9	2	9	9	7	6	7	10	8	6	7	4		4.94
